experiment_name,repeat_number,challenge_score,auroc,auprc,accuracy,f_measure
G_Dem_Concat,2,0.3650689428759028,0.7896775295898004,0.13164107715143422,0.9781280330266702,0.06976744186046512
F_Dem_None,5,0.3617859487852922,0.7834782990103168,0.1334571133148173,0.9764602955449537,0.15004935834155972
F_Dem_None,3,0.3532501641497045,0.7735285627819111,0.12646966423464967,0.9780596831298785,0.08442669709070165
F_Dem_None,1,0.3525935653315824,0.7705618828573809,0.12315355722754154,0.9762279058958621,0.12919379068602904
F_Dem_None,4,0.3368351936966513,0.7568505586406543,0.12309026502192141,0.9788525419326617,0.03853325046612803
G_Dem_Concat,3,0.30728824688115564,0.7797828979795035,0.1195153990101446,0.9776495837491286,0.10899182561307902
G_Dem_Concat,1,0.3066316480630335,0.7627547918284749,0.11732763882275868,0.9779503232950119,0.09432902863559797
G_Dem_Concat,5,0.3000656598818122,0.7705851383537033,0.10631653071183501,0.9776495837491286,0.07155025553662692
F_Dem_None,2,0.29087327642810246,0.7419767483536217,0.10447363759528044,0.9783330827170451,0.05598570577724836
G_Dem_Concat,4,0.2902166776099803,0.7556666091313894,0.0951398992525354,0.9778683034188619,0.05487448920023351
