experiment_name,challenge_score,auroc,auprc,accuracy,f_measure
F_Dem_None,0.3391 ± 0.0284,0.7653 ± 0.0161,0.1221 ± 0.0107,0.9776 ± 0.0012,0.0916 ± 0.0473
G_Dem_Concat,0.3139 ± 0.0294,0.7717 ± 0.0135,0.1140 ± 0.0139,0.9778 ± 0.0002,0.0799 ± 0.0215
