"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","challenge_score"
4900,"2025-02-22 09:48:09.207121","train",2,0.01166069507598877,0.00018778658685830832,"","","","",""
5000,"2025-02-22 09:48:29.520160","train",2,0.0054335035383701324,0.0001937837209659638,"","","","",""
5100,"2025-02-22 09:48:49.527466","train",2,0.01369653269648552,0.00019984315224881913,"","","","",""
5200,"2025-02-22 09:49:10.194904","train",2,0.007716177962720394,0.00020596168753030575,"","","","",""
5300,"2025-02-22 09:49:30.176754","train",2,0.006060030777007341,0.00021213610248744955,"","","","",""
5400,"2025-02-22 09:49:50.524234","train",2,0.007979007437825203,0.00021836314335001275,"","","","",""
5500,"2025-02-22 09:50:11.016758","train",2,0.026568079367280006,0.00022463952861515355,"","","","",""
5600,"2025-02-22 09:50:31.244589","train",2,0.016936086118221283,0.0002309619507767005,"","","","",""
5700,"2025-02-22 09:50:51.773274","train",2,0.005048027262091637,0.0002373270780681294,"","","","",""
5800,"2025-02-22 09:51:11.991870","train",2,0.016487155109643936,0.00024373155621832575,"","","","",""
5900,"2025-02-22 09:51:32.176565","train",2,0.005038962699472904,0.00025017201021920564,"","","","",""
6000,"2025-02-22 09:51:52.150872","train",2,0.021097715944051743,0.00025664504610426505,"","","","",""
6100,"2025-02-22 09:52:11.582322","train",2,0.010624460875988007,0.00026314725273711995,"","","","",""
6200,"2025-02-22 09:52:31.725606","train",2,0.00902455672621727,0.00026967520360909403,"","","","",""
6300,"2025-02-22 09:52:51.902182","train",2,0.00660131499171257,0.0002762254586449076,"","","","",""
6400,"2025-02-22 09:53:11.976927","train",2,0.016632072627544403,0.0002827945660155154,"","","","",""
6500,"2025-02-22 09:53:32.266774","train",2,0.01855478249490261,0.0002893790639571392,"","","","",""
6600,"2025-02-22 09:53:52.604025","train",2,0.0029947003349661827,0.0002959754825955348,"","","","",""
6700,"2025-02-22 09:54:12.247575","train",2,0.013264577835798264,0.0003025803457745334,"","","","",""
6800,"2025-02-22 09:54:32.196023","train",2,0.026653606444597244,0.00030919017288789366,"","","","",""
6843,"2025-02-22 10:02:12.993398","train",2,"","",0.8350537516498858,0.1653660340892538,0.9799601326172731,0.0,0.4002734575286276
6843,"2025-02-22 10:04:05.995850","val",2,"","",0.8300314694043026,0.17267336065046462,0.9791635313915149,0.0,0.39658568614576495
6900,"2025-02-22 10:04:18.247160","train",3,0.023940175771713257,0.00031580148071349857,"","","","",""
7000,"2025-02-22 10:04:37.790481","train",3,0.010837179608643055,0.0003224107852489309,"","","","",""
7100,"2025-02-22 10:04:57.325287","train",3,0.012149006128311157,0.00032901460354745976,"","","","",""
7200,"2025-02-22 10:05:17.256521","train",3,0.018141470849514008,0.0003356094555534712,"","","","",""
7300,"2025-02-22 10:05:37.021048","train",3,0.01986466534435749,0.00034219186593637435,"","","","",""
7400,"2025-02-22 10:05:56.261917","train",3,0.011026731692254543,0.0003487583659220192,"","","","",""
7500,"2025-02-22 10:06:15.844119","train",3,0.024116866290569305,0.0003553054951206573,"","","","",""
7600,"2025-02-22 10:06:36.130495","train",3,0.015810035169124603,0.00036182980335048534,"","","","",""
7700,"2025-02-22 10:06:56.168121","train",3,0.036712128669023514,0.0003683278524558101,"","","","",""
7800,"2025-02-22 10:07:16.034791","train",3,0.011787038296461105,0.0003747962181188732,"","","","",""
7900,"2025-02-22 10:07:36.122398","train",3,0.020416950806975365,0.00038123149166438715,"","","","",""
8000,"2025-02-22 10:07:56.503788","train",3,0.008297879248857498,0.0003876302818558249,"","","","",""
8100,"2025-02-22 10:08:16.521150","train",3,0.006526481360197067,0.00039398921668252183,"","","","",""
8200,"2025-02-22 10:08:36.478768","train",3,0.011618278920650482,0.0004003049451366457,"","","","",""
8300,"2025-02-22 10:08:56.422943","train",3,0.01777852699160576,0.00040657413897909715,"","","","",""
8400,"2025-02-22 10:09:16.238291","train",3,0.024376725777983665,0.00041279349449341405,"","","","",""
8500,"2025-02-22 10:09:36.024830","train",3,0.009533612057566643,0.0004189597342267507,"","","","",""
8600,"2025-02-22 10:09:56.111618","train",3,0.023264341056346893,0.00042506960871701845,"","","","",""
8700,"2025-02-22 10:10:16.702530","train",3,0.004096833523362875,0.0004311198982052749,"","","","",""
8800,"2025-02-22 10:10:37.011361","train",3,0.017319584265351295,0.0004371074143324602,"","","","",""
8900,"2025-02-22 10:10:56.855308","train",3,0.016000840812921524,0.00044302900181958724,"","","","",""
9000,"2025-02-22 10:11:17.525206","train",3,0.0030180069152265787,0.0004488815401304982,"","","","",""
