"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-02-13 06:45:10.825880","train",0,0.7490522317184514,8.901177125054846e-06,"","","","","",""
200,"2026-02-13 06:45:23.966451","train",0,0.6471896717062918,1.1587789329162683e-05,"","","","","",""
300,"2026-02-13 06:45:37.176135","train",0,0.6690742632723868,1.6009396748526924e-05,"","","","","",""
382,"2026-02-13 06:48:25.432025","train",0,"","",0.7238511824538431,0.13498155748963767,0.9379578473501126,0.0,0.0,0.14643799472295516
382,"2026-02-13 06:49:18.387922","val",0,"","",0.787108398721302,0.06077008740374214,0.9820205479452054,0.0,0.0,0.2
400,"2026-02-13 06:49:40.623012","train",1,0.6693005895671377,2.2082985811016243e-05,"","","","","",""
500,"2026-02-13 06:49:53.799252","train",1,0.7573320564664755,2.9694527776420255e-05,"","","","","",""
600,"2026-02-13 06:50:07.065880","train",1,0.6580290008656448,3.8701119571705274e-05,"","","","","",""
700,"2026-02-13 06:50:20.399406","train",1,0.6077243382227607,4.893366672810843e-05,"","","","","",""
764,"2026-02-13 06:53:06.198021","train",1,"","",0.7609086422402355,0.1578828218136361,0.9378350726417025,0.0,0.0,0.1695250659630607
764,"2026-02-13 06:53:59.105111","val",1,"","",0.8028380454186905,0.06820592569231168,0.9816780821917809,0.0,0.0,0.21904761904761905
800,"2026-02-13 06:54:23.649828","train",2,0.7103010772538255,6.020005804920482e-05,"","","","","",""
900,"2026-02-13 06:54:36.849723","train",2,0.7299837449038024,7.228877240706761e-05,"","","","","",""
1000,"2026-02-13 06:54:50.131424","train",2,0.7048749564193713,8.497284995064201e-05,"","","","","",""
1100,"2026-02-13 06:55:03.475552","train",2,0.589136236316699,9.801415316878865e-05,"","","","","",""
1146,"2026-02-13 06:57:47.456701","train",2,"","",0.776301716346233,0.16688523475934075,0.9364436259463884,0.012714558169103624,0.006596306068601583,0.17216358839050133
1146,"2026-02-13 06:58:40.177372","val",2,"","",0.8023365300784654,0.06503365152196261,0.9803082191780822,0.017094017094017096,0.009523809523809525,0.2571428571428571
1200,"2026-02-13 06:59:18.919096","train",3,0.6414298573952691,0.00011116783780856805,"","","","","",""
1300,"2026-02-13 06:59:54.835151","train",3,0.670609938340931,0.00012418694970940607,"","","","","",""
1400,"2026-02-13 07:00:31.191503","train",3,0.6615063685647328,0.00013682706124977013,"","","","","",""
1500,"2026-02-13 07:01:07.741958","train",3,0.6222310054974514,0.00014885086035927863,"","","","","",""
1528,"2026-02-13 07:03:54.979016","train",3,"","",0.8452884749216036,0.3973871800898722,0.9367710251688153,0.39482961222091656,0.3324538258575198,0.36015831134564646
1528,"2026-02-13 07:04:47.435632","val",3,"","",0.8492365176236144,0.2201453827333141,0.9683219178082192,0.2965779467680608,0.37142857142857144,0.4380952380952381
1600,"2026-02-13 07:05:32.979015","train",4,0.6177296728397779,0.0001600326059397286,"","","","","",""
1700,"2026-02-13 07:06:09.028289","train",4,0.6692307949328096,0.00017016236604663486,"","","","","",""
1800,"2026-02-13 07:06:45.461843","train",4,0.630938421083556,0.00017904995926144255,"","","","","",""
1900,"2026-02-13 07:07:22.058796","train",4,0.7114084034328698,0.00018652852525702712,"","","","","",""
1910,"2026-02-13 07:10:02.536330","train",4,"","",0.866952025954431,0.47296779940428824,0.9150399017802333,0.45511811023622045,0.5718997361477572,0.43007915567282323
1910,"2026-02-13 07:10:54.919371","val",4,"","",0.8506231577199319,0.20907052110038216,0.9299657534246575,0.2058252427184466,0.5047619047619047,0.44761904761904764
2000,"2026-02-13 07:11:46.574299","train",5,0.63619163936728,0.000192457657520817,"","","","","",""
2100,"2026-02-13 07:12:22.759146","train",5,0.6675222622165166,0.0001967260394201549,"","","","","",""
2200,"2026-02-13 07:12:59.228711","train",5,0.6877896505349781,0.0001992535341190266,"","","","","",""
2292,"2026-02-13 07:16:10.047827","train",5,"","",0.9035335639416593,0.6271846256881914,0.9543278084714549,0.5851301115241636,0.5191292875989446,0.5310026385224275
2292,"2026-02-13 07:17:02.745052","val",5,"","",0.8055897372026404,0.20504319516948186,0.9698630136986301,0.26666666666666666,0.3047619047619048,0.4
2300,"2026-02-13 07:17:25.364836","train",6,0.6082308795507743,0.00019999860244398847,"","","","","",""
2400,"2026-02-13 07:18:01.034450","train",6,0.5291030354293526,0.00019979507741437494,"","","","","",""
2500,"2026-02-13 07:18:37.291727","train",6,0.6426567619826529,0.00019924728218188376,"","","","","",""
2600,"2026-02-13 07:19:13.842078","train",6,0.612707426596296,0.0001983571065224099,"","","","","",""
2674,"2026-02-13 07:22:17.956028","train",6,"","",0.9265304356825766,0.6964450740164562,0.9584612236545939,0.6417225555947759,0.5996042216358839,0.5811345646437994
2674,"2026-02-13 07:23:10.414235","val",6,"","",0.8306655042138914,0.1930831799370496,0.9669520547945205,0.23715415019762845,0.2857142857142857,0.3333333333333333
2700,"2026-02-13 07:23:39.442222","train",7,0.5997864257228684,0.0001971276213507839,"","","","","",""
2800,"2026-02-13 07:24:15.227208","train",7,0.7512987101014005,0.0001955630681267754,"","","","","",""
2900,"2026-02-13 07:24:51.581402","train",7,0.6856692854377797,0.00019366884422296769,"","","","","",""
3000,"2026-02-13 07:25:28.161153","train",7,0.6847863474740279,0.00019145148430498184,"","","","","",""
