"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score","loss","lr"
39,"2026-02-13 01:43:19.412745","train",0,0.6306650824500801,0.13792068761791254,0.9318367346938775,0.0,0.0,0.10778443113772455,"",""
39,"2026-02-13 01:43:45.188964","val",0,0.5143154606975534,0.03329221494484315,0.9707903780068728,0.0,0.0,0.058823529411764705,"",""
78,"2026-02-13 01:44:47.183239","train",1,0.759241044848542,0.3025314707280964,0.9318367346938775,0.0,0.0,0.2754491017964072,"",""
78,"2026-02-13 01:45:12.327839","val",1,0.6287350338365435,0.04283809609103007,0.9707903780068728,0.0,0.0,0.0,"",""
100,"2026-02-13 01:45:36.167921","train",2,"","","","","","",0.7009585392603184,8.281830657740928e-05
117,"2026-02-13 01:46:14.630116","train",2,0.7783513131424404,0.3444183200878574,0.9318367346938775,0.0,0.0,0.2694610778443114,"",""
117,"2026-02-13 01:46:39.220480","val",2,0.6959916710046851,0.05050045906711221,0.9707903780068728,0.0,0.0,0.0,"",""
156,"2026-02-13 01:47:48.384021","train",3,0.7809322222834226,0.2710443117287753,0.9318367346938775,0.0,0.0,0.15568862275449102,"",""
156,"2026-02-13 01:48:12.981981","val",3,0.6495575221238937,0.04693650104781286,0.9707903780068728,0.0,0.0,0.0,"",""
195,"2026-02-13 01:49:22.502882","train",4,0.7478656353521603,0.1677244689198181,0.9318367346938775,0.0,0.0,0.11976047904191617,"",""
195,"2026-02-13 01:49:47.129331","val",4,0.7128578865174389,0.05526726341122365,0.9707903780068728,0.0,0.0,0.058823529411764705,"",""
200,"2026-02-13 01:50:09.530675","train",5,"","","","","","",0.6489729631139198,0.00019065283049482035
234,"2026-02-13 01:50:57.565213","train",5,0.7501947484793882,0.18860158171831873,0.9314285714285714,0.0,0.0,0.17964071856287425,"",""
234,"2026-02-13 01:51:22.100370","val",5,0.680895366996356,0.048368308059592566,0.9707903780068728,0.0,0.0,0.0,"",""
273,"2026-02-13 01:52:31.584308","train",6,0.8113838026968403,0.2618424770257042,0.9338775510204081,0.1,0.05389221556886228,0.2155688622754491,"",""
273,"2026-02-13 01:52:55.862533","val",6,0.6992191566892243,0.049080626228245404,0.9673539518900344,0.0,0.0,0.0,"",""
300,"2026-02-13 01:53:25.411095","train",7,"","","","","","",0.6758391075665714,0.0001926608277306569
312,"2026-02-13 01:54:04.668330","train",7,0.8353726187572293,0.2779284205662292,0.9326530612244898,0.14507772020725387,0.08383233532934131,0.20359281437125748,"",""
