"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-03-10 23:39:05.824765","train",0,0.5385085940361023,8.986969868236881e-06,"","","","","",""
200,"2026-03-10 23:39:19.095268","train",0,0.6837942600250244,1.192758552459735e-05,"","","","","",""
300,"2026-03-10 23:39:32.456167","train",0,0.5760441422462463,1.67613824056044e-05,"","","","","",""
365,"2026-03-10 23:40:36.234739","val",0,"","",0.7254222762403391,0.043134800594486454,0.9808284833960972,0.0,0.0,0.10714285714285714
400,"2026-03-10 23:41:02.789473","train",1,0.643499493598938,2.3388968597284573e-05,"","","","","",""
500,"2026-03-10 23:41:16.159036","train",1,0.5968228578567505,3.167406851900591e-05,"","","","","",""
600,"2026-03-10 23:41:29.620157","train",1,0.5443401336669922,4.144632500455858e-05,"","","","","",""
700,"2026-03-10 23:41:43.189587","train",1,0.6129183173179626,5.250480216444423e-05,"","","","","",""
730,"2026-03-10 23:42:43.951514","val",1,"","",0.7666074545001246,0.08447116892980361,0.9808284833960972,0.0,0.0,0.19642857142857142
800,"2026-03-10 23:43:15.384716","train",2,0.5852859020233154,6.462211700396722e-05,"","","","","",""
900,"2026-03-10 23:43:28.876614","train",2,0.545885443687439,7.754911484332436e-05,"","","","","",""
1000,"2026-03-10 23:43:42.464232","train",2,0.5666633248329163,9.101999240430303e-05,"","","","","",""
1095,"2026-03-10 23:44:52.452150","val",2,"","",0.7385393293443032,0.07228528799111222,0.9808284833960972,0.0,0.0,0.25
1100,"2026-03-10 23:45:16.433879","train",3,0.5515528917312622,0.00010475776322333246,"","","","","",""
1200,"2026-03-10 23:45:52.468040","train",3,0.5177223682403564,0.00011847995301176431,"","","","","",""
1300,"2026-03-10 23:46:29.057037","train",3,0.536415696144104,0.00013190440785611074,"","","","","",""
1400,"2026-03-10 23:47:05.776960","train",3,0.5417978763580322,0.00014475509583077026,"","","","","",""
1460,"2026-03-10 23:48:24.128001","val",3,"","",0.8197690725504863,0.22726462877104875,0.9808284833960972,0.0,0.0,0.44642857142857145
1500,"2026-03-10 23:49:00.480606","train",4,0.5396877527236938,0.00015676778273121986,"","","","","",""
1600,"2026-03-10 23:49:36.843911","train",4,0.6040022373199463,0.00016769546522397397,"","","","","",""
1700,"2026-03-10 23:50:13.520740","train",4,0.5185978412628174,0.00017731344969757406,"","","","","",""
1800,"2026-03-10 23:50:50.286708","train",4,0.6656137704849243,0.00018542397238392408,"","","","","",""
1825,"2026-03-10 23:51:56.013034","val",4,"","",0.7838553353278485,0.23096189885652132,0.9801437863745293,0.22666666666666666,0.15178571428571427,0.45535714285714285
1900,"2026-03-10 23:52:45.105259","train",5,0.5698021054267883,0.00019186026575162648,"","","","","",""
2000,"2026-03-10 23:53:21.671684","train",5,0.5948891639709473,0.00019648998755865936,"","","","","",""
2100,"2026-03-10 23:53:58.409558","train",5,0.5474884510040283,0.00019921794205665053,"","","","","",""
2190,"2026-03-10 23:55:27.353220","val",5,"","",0.8361427948142608,0.23426047132225503,0.9811708319068813,0.11290322580645161,0.0625,0.4642857142857143
2200,"2026-03-10 23:55:52.859019","train",6,0.7349500060081482,0.00019999771329612664,"","","","","",""
2300,"2026-03-10 23:56:29.027424","train",6,0.6212401390075684,0.00019976724253329174,"","","","","",""
2400,"2026-03-10 23:57:05.641859","train",6,0.6037299036979675,0.00019915980126110298,"","","","","",""
2500,"2026-03-10 23:57:42.366400","train",6,0.5241063237190247,0.0001981776847055088,"","","","","",""
2555,"2026-03-10 23:58:58.039616","val",6,"","",0.840632791074545,0.23619607204543758,0.9809996576514892,0.017699115044247787,0.008928571428571428,0.4732142857142857
2600,"2026-03-10 23:59:35.024764","train",7,0.5507131814956665,0.0001968246038086299,"","","","","",""
2700,"2026-03-11 00:00:11.422723","train",7,0.6373544931411743,0.00019510567120690884,"","","","","",""
2800,"2026-03-11 00:00:48.154092","train",7,0.5546212196350098,0.00019302738191293663,"","","","","",""
2900,"2026-03-11 00:01:24.955942","train",7,0.5280474424362183,0.00019059758877395025,"","","","","",""
2920,"2026-03-11 00:02:28.600390","val",7,"","",0.8362207055597107,0.23918953977014648,0.9808284833960972,0.05084745762711865,0.026785714285714284,0.4732142857142857
3000,"2026-03-11 00:03:19.140464","train",8,0.5386842489242554,0.00018782547279973176,"","","","","",""
3100,"2026-03-11 00:03:55.749588","train",8,0.6099186539649963,0.00018472150847202547,"","","","","",""
3200,"2026-03-11 00:04:32.483025","train",8,0.58829665184021,0.0001812974241665513,"","","","","",""
3285,"2026-03-11 00:05:59.764701","val",8,"","",0.8394867240089752,0.20901213458420395,0.9803149606299213,0.12213740458015267,0.07142857142857142,0.4732142857142857
3300,"2026-03-11 00:06:26.932667","train",9,0.6136610507965088,0.00017756615783716176,"","","","","",""
3400,"2026-03-11 00:07:03.243000","train",9,0.5766359567642212,0.00017354180812958938,"","","","","",""
3500,"2026-03-11 00:07:39.981926","train",9,0.6126349568367004,0.00016923958110950243,"","","","","",""
3600,"2026-03-11 00:08:16.776292","train",9,0.579943835735321,0.00016467573280615813,"","","","","",""
3650,"2026-03-11 00:09:29.951732","val",9,"","",0.838064073797058,0.25774562099235526,0.9811708319068813,0.08333333333333333,0.044642857142857144,0.4642857142857143
3700,"2026-03-11 00:10:09.920478","train",10,0.5467438101768494,0.0001598675077887524,"","","","","",""
3800,"2026-03-11 00:10:46.450568","train",10,0.5495738387107849,0.00015483307400755686,"","","","","",""
3900,"2026-03-11 00:11:23.238061","train",10,0.5867948532104492,0.00014959145414604642,"","","","","",""
4000,"2026-03-11 00:12:00.063869","train",10,0.5496172904968262,0.0001441624537434049,"","","","","",""
4015,"2026-03-11 00:13:01.748627","val",10,"","",0.8527424582398404,0.2603720575194348,0.9816843546730571,0.2913907284768212,0.19642857142857142,0.5089285714285714
4100,"2026-03-11 00:13:54.307177","train",11,0.6173822283744812,0.0001385665863589982,"","","","","",""
4200,"2026-03-11 00:14:30.983106","train",11,0.6156169176101685,0.00013282499606158329,"","","","","",""
4300,"2026-03-11 00:15:07.791219","train",11,0.5754992961883545,0.00012695937753612717,"","","","","",""
