"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score","loss","lr"
13,"2026-02-13 13:40:28.921117","train",0,0.6772053789923439,0.19268776315921257,0.9318367346938775,0.0,0.0,0.2215568862275449,"",""
13,"2026-02-13 13:40:52.259968","val",0,0.5348256116605934,0.13664472899239685,0.9707903780068728,0.0,0.0,0.17647058823529413,"",""
26,"2026-02-13 13:41:44.699915","train",1,0.7328522980320568,0.27809543321755625,0.7559183673469387,0.23529411764705882,0.5508982035928144,0.2874251497005988,"",""
26,"2026-02-13 13:42:07.986468","val",1,0.5354502863092139,0.03539640333065571,0.7491408934707904,0.05194805194805195,0.23529411764705882,0.058823529411764705,"",""
39,"2026-02-13 13:43:00.498338","train",2,0.7710518516187074,0.38182995762491456,0.48244897959183675,0.17769130998702984,0.8203592814371258,0.3473053892215569,"",""
39,"2026-02-13 13:43:23.676747","val",2,0.600832899531494,0.04193520789760171,0.43986254295532645,0.07386363636363637,0.7647058823529411,0.058823529411764705,"",""
52,"2026-02-13 13:44:15.945081","train",3,0.8176603429146964,0.4823484467036171,0.5836734693877551,0.20930232558139536,0.8083832335329342,0.3712574850299401,"",""
52,"2026-02-13 13:44:39.266158","val",3,0.583237896928683,0.06001749651100512,0.5618556701030928,0.07942238267148015,0.6470588235294118,0.11764705882352941,"",""
65,"2026-02-13 13:45:31.631011","train",4,0.8415258838433515,0.5881377147188397,0.6926530612244898,0.2624877571008815,0.8023952095808383,0.49700598802395207,"",""
65,"2026-02-13 13:45:54.947384","val",4,0.6380010411244144,0.0944837728061534,0.6408934707903781,0.07111111111111111,0.47058823529411764,0.11764705882352941,"",""
78,"2026-02-13 13:46:47.339135","train",5,0.8549392673260575,0.6016094689926141,0.6816326530612244,0.25572519083969464,0.8023952095808383,0.47904191616766467,"",""
78,"2026-02-13 13:47:10.642121","val",5,0.6254034357105674,0.07502839572826013,0.6254295532646048,0.07627118644067797,0.5294117647058824,0.17647058823529413,"",""
91,"2026-02-13 13:48:03.030415","train",6,0.8419219379899859,0.6024657687652074,0.4620408163265306,0.18842364532019704,0.9161676646706587,0.5209580838323353,"",""
91,"2026-02-13 13:48:26.263033","val",6,0.6054138469547111,0.06362000431508724,0.40893470790378006,0.07526881720430108,0.8235294117647058,0.17647058823529413,"",""
