"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score","loss","lr"
13,"2026-02-12 21:20:32.031043","train",0,0.7037226466908496,0.18655763050207844,0.8008163265306123,0.2628398791540785,0.5209580838323353,0.17964071856287425,"",""
13,"2026-02-12 21:20:55.502336","val",0,0.5700156168662155,0.04677965747955716,0.788659793814433,0.07518796992481203,0.29411764705882354,0.11764705882352941,"",""
26,"2026-02-12 21:21:48.258576","train",1,0.7477344915949966,0.32373599386395924,0.7995918367346939,0.26606875934230195,0.5329341317365269,0.31137724550898205,"",""
26,"2026-02-12 21:22:11.683012","val",1,0.6133263925039043,0.053029331285501004,0.8006872852233677,0.07936507936507936,0.29411764705882354,0.11764705882352941,"",""
39,"2026-02-12 21:23:04.443770","train",2,0.7838541051930304,0.4169922413999823,0.6085714285714285,0.20809248554913296,0.7544910179640718,0.40718562874251496,"",""
39,"2026-02-12 21:23:27.689693","val",2,0.6156168662155128,0.047490394200272776,0.5807560137457045,0.06870229007633588,0.5294117647058824,0.11764705882352941,"",""
52,"2026-02-12 21:24:20.217563","train",3,0.8003414983436543,0.503187389593196,0.850204081632653,0.35500878734622143,0.6047904191616766,0.46107784431137727,"",""
52,"2026-02-12 21:24:43.455302","val",3,0.6736074960957834,0.06521639325525842,0.8556701030927835,0.045454545454545456,0.11764705882352941,0.11764705882352941,"",""
65,"2026-02-12 21:25:36.068127","train",4,0.8392072622166967,0.5730123976355307,0.8591836734693877,0.3738656987295826,0.6167664670658682,0.5209580838323353,"",""
65,"2026-02-12 21:25:59.408335","val",4,0.6897449245184799,0.07320530024962396,0.845360824742268,0.1,0.29411764705882354,0.11764705882352941,"",""
78,"2026-02-12 21:26:52.042013","train",5,0.8677048006483747,0.6517389624199269,0.7151020408163266,0.27442827442827444,0.7904191616766467,0.562874251497006,"",""
78,"2026-02-12 21:27:15.388786","val",5,0.6676730869338886,0.08633909527806292,0.6683848797250859,0.10232558139534884,0.6470588235294118,0.17647058823529413,"",""
91,"2026-02-12 21:28:07.980656","train",6,0.8780835175903122,0.6836127083911665,0.7440816326530613,0.2994413407821229,0.8023952095808383,0.5808383233532934,"",""
91,"2026-02-12 21:28:31.400397","val",6,0.6650702758979699,0.06561064372724161,0.6924398625429553,0.09137055837563451,0.5294117647058824,0.11764705882352941,"",""
100,"2026-02-12 21:28:54.725317","train",7,"","","","","","",0.5740346236823824,0.0008649989207926915
104,"2026-02-12 21:29:24.118582","train",7,0.9103475047277324,0.730878803015037,0.8457142857142858,0.411214953271028,0.7904191616766467,0.592814371257485,"",""
104,"2026-02-12 21:29:47.391006","val",7,0.6771473191046329,0.10016452582304713,0.8006872852233677,0.13432835820895522,0.5294117647058824,0.29411764705882354,"",""
117,"2026-02-12 21:30:40.053414","train",8,0.9290827018761425,0.7421621650311306,0.9489795918367347,0.6438746438746439,0.6766467065868264,0.5988023952095808,"",""
117,"2026-02-12 21:31:03.371174","val",8,0.6867256637168141,0.05815813284237665,0.915807560137457,0.10909090909090909,0.17647058823529413,0.058823529411764705,"",""
130,"2026-02-12 21:31:56.056135","train",9,0.9054663340860984,0.7413286710295102,0.84,0.40606060606060607,0.8023952095808383,0.6227544910179641,"",""
130,"2026-02-12 21:32:19.531284","val",9,0.6732951587714732,0.07965959546902032,0.7955326460481099,0.0916030534351145,0.35294117647058826,0.17647058823529413,"",""
143,"2026-02-12 21:33:12.306449","train",10,0.8993170033126914,0.7439976945350655,0.6877551020408164,0.2776203966005666,0.8802395209580839,0.6407185628742516,"",""
143,"2026-02-12 21:33:35.463746","val",10,0.6173867777199376,0.05675814433045184,0.6237113402061856,0.06808510638297872,0.47058823529411764,0.17647058823529413,"",""
156,"2026-02-12 21:34:28.106840","train",11,0.8926090001337665,0.6970356589203179,0.6322448979591837,0.2510390689941812,0.9041916167664671,0.5568862275449101,"",""
156,"2026-02-12 21:34:51.352618","val",11,0.6099947943779281,0.06207994949369958,0.5910652920962199,0.07751937984496124,0.5882352941176471,0.17647058823529413,"",""
169,"2026-02-12 21:35:44.103146","train",12,0.9158804598424701,0.7949813294112437,0.7755102040816326,0.34834123222748814,0.8802395209580839,0.6586826347305389,"",""
169,"2026-02-12 21:36:07.419219","val",12,0.6626756897449244,0.059960474738333616,0.7096219931271478,0.08648648648648649,0.47058823529411764,0.11764705882352941,"",""
182,"2026-02-12 21:37:00.041464","train",13,0.9126949779809631,0.8073491844511047,0.7322448979591837,0.3080168776371308,0.874251497005988,0.6526946107784432,"",""
182,"2026-02-12 21:37:23.345033","val",13,0.6339406559083811,0.05076282224079264,0.6786941580756014,0.06965174129353234,0.4117647058823529,0.11764705882352941,"",""
