"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-02-13 01:25:36.073786","train",0,0.6972518602885733,7.17340740005862e-05,"","","","","",""
128,"2026-02-13 01:26:56.660325","train",0,"","",0.7177920450674979,0.15387456838885807,0.9329009626366455,0.0,0.0,0.18059792556436852
128,"2026-02-13 01:27:30.783509","val",0,"","",0.6790421358620495,0.03931642749174216,0.9784209624935777,0.0,0.0,0.12096774193548387
200,"2026-02-13 01:28:09.688633","train",1,0.6812431216797752,0.00017302461061031072,"","","","","",""
256,"2026-02-13 01:29:37.043647","train",1,"","",0.7853525137468185,0.2572117104442719,0.6917931147006037,0.2346029173419773,0.7065283709579011,0.28004881025015255
256,"2026-02-13 01:30:10.666158","val",1,"","",0.7611866057065447,0.07142884362591204,0.6845350231203974,0.08902077151335312,0.7258064516129032,0.20161290322580644
300,"2026-02-13 01:30:42.773579","train",2,0.6495077683992955,0.00032311455644597426,"","","","","",""
384,"2026-02-13 01:32:17.068878","train",2,"","",0.8162110299227882,0.34719284355104746,0.7842225485397292,0.2922130050842922,0.6662599145820622,0.34350213544844416
384,"2026-02-13 01:32:50.532914","val",2,"","",0.7916137498941667,0.09352388780597318,0.7898612776160301,0.11279826464208242,0.6290322580645161,0.31451612903225806
400,"2026-02-13 01:33:15.643279","train",3,0.6092547483897457,0.0004971737021037089,"","","","","",""
500,"2026-02-13 01:33:40.537087","train",3,0.6615572103721206,0.0006664064809566055,"","","","","",""
512,"2026-02-13 01:34:56.447972","train",3,"","",0.8251569132354705,0.3588394165576052,0.8012318485886768,0.30514758306003137,0.652837095790116,0.3422818791946309
512,"2026-02-13 01:35:30.014348","val",3,"","",0.7842364462506703,0.10813783650158725,0.8078438088713821,0.11653543307086614,0.5967741935483871,0.3064516129032258
600,"2026-02-13 01:36:13.092016","train",4,0.6967926627160825,0.000802815778917376,"","","","","",""
640,"2026-02-13 01:37:36.341589","train",4,"","",0.8544428766374376,0.4133084851875237,0.8418175885136238,0.35020107238605896,0.6375838926174496,0.38071995118974983
640,"2026-02-13 01:38:09.974656","val",4,"","",0.7945615669009115,0.09989679050790656,0.8468915910258606,0.13203883495145632,0.5483870967741935,0.28225806451612906
700,"2026-02-13 01:38:46.151180","train",5,0.6876705029731964,0.0008838346517837141,"","","","","",""
768,"2026-02-13 01:40:15.973800","train",5,"","",0.8599308160523038,0.43737550342750764,0.8908060042421276,0.41588479162120884,0.5814521049420378,0.4045149481391092
768,"2026-02-13 01:40:49.654620","val",5,"","",0.7542968419270172,0.07566313777754506,0.8991265627675972,0.12481426448736999,0.3387096774193548,0.24193548387096775
800,"2026-02-13 01:41:18.653952","train",6,0.6973550593528973,0.0008992471451349495,"","","","","",""
896,"2026-02-13 01:42:55.887059","train",6,"","",0.8950523348155506,0.5366815757516238,0.945831293848915,0.507783543365456,0.4179377669310555,0.4563758389261745
896,"2026-02-13 01:43:29.412706","val",6,"","",0.8016453588462733,0.11944923769651673,0.9684877547525261,0.22033898305084745,0.20967741935483872,0.31451612903225806
900,"2026-02-13 01:43:51.396326","train",7,0.6067018802724001,0.0008878230272005881,"","","","","",""
1000,"2026-02-13 01:44:16.566092","train",7,0.6409643873361346,0.0008629771961653554,"","","","","",""
1024,"2026-02-13 01:45:35.604811","train",7,"","",0.8884447781505375,0.5512961202886651,0.9040218632729646,0.4648624061860359,0.6235509456985967,0.4643075045759609
1024,"2026-02-13 01:46:09.248257","val",7,"","",0.7697979284847459,0.09774043166432474,0.9068333618770338,0.1365079365079365,0.3467741935483871,0.2903225806451613
1100,"2026-02-13 01:46:49.611388","train",8,0.6662468262584298,0.0008254713181961475,"","","","","",""
1152,"2026-02-13 01:48:15.755752","train",8,"","",0.9084116258198371,0.5969663776856088,0.9239272311959537,0.5303450012591286,0.6424649176327029,0.5039658328248933
1152,"2026-02-13 01:48:49.427574","val",8,"","",0.7944853667485113,0.1004116860671321,0.9338927898612777,0.18907563025210083,0.3629032258064516,0.3064516129032258
1200,"2026-02-13 01:49:22.382710","train",9,0.6346309402176605,0.0007764551619711933,"","","","","",""
1280,"2026-02-13 01:50:55.225946","train",9,"","",0.9164968436264039,0.6644047535383635,0.9564774025126448,0.5596368138671068,0.41366687004270897,0.5424039048200122
1280,"2026-02-13 01:51:28.953864","val",9,"","",0.7512347246916715,0.11734834890597674,0.9761945538619626,0.16766467065868262,0.11290322580645161,0.33064516129032256
1300,"2026-02-13 01:51:54.977612","train",10,0.5919554019628169,0.0007174313517245102,"","","","","",""
1400,"2026-02-13 01:52:20.286986","train",10,0.5994582733083613,0.0006502093032587912,"","","","","",""
1408,"2026-02-13 01:53:35.188645","train",10,"","",0.9178027237098906,0.6860364061304803,0.9595774188285201,0.6244789693065556,0.5027455765710799,0.5637583892617449
1408,"2026-02-13 01:54:08.863703","val",10,"","",0.7219526994609545,0.09420880958664905,0.9698578523719815,0.12871287128712872,0.10483870967741936,0.28225806451612906
1500,"2026-02-13 01:54:52.880802","train",11,0.6068798827950862,0.000576849755050169,"","","","","",""
1536,"2026-02-13 01:56:14.961506","train",11,"","",0.9288407301556407,0.6898700953475123,0.9238048621308533,0.5661867162099397,0.7437461866992068,0.561928004881025
1536,"2026-02-13 01:56:48.525358","val",11,"","",0.7440450992013095,0.06748998874249121,0.9138551121767426,0.1342512908777969,0.31451612903225806,0.21774193548387097
1600,"2026-02-13 01:57:25.492917","train",12,0.581149351717723,0.0004996015948822743,"","","","","",""
1664,"2026-02-13 01:58:54.360832","train",12,"","",0.9505087196955851,0.7841006405375778,0.9543155490292055,0.6921385376580539,0.7681513117754728,0.6320927394752898
1664,"2026-02-13 01:59:27.914217","val",12,"","",0.7637752942172551,0.1028402979859164,0.9421133755780099,0.16748768472906403,0.27419354838709675,0.28225806451612906
1700,"2026-02-13 01:59:57.911172","train",13,0.5677177560649094,0.00042083291863289913,"","","","","",""
1792,"2026-02-13 02:01:33.711409","train",13,"","",0.9511065929868789,0.7811757400156291,0.9528879099363681,0.6877534468775345,0.7760829774252593,0.6272117144600367
1792,"2026-02-13 02:02:07.326685","val",13,"","",0.7157988315976633,0.0664800985922223,0.9400582291488269,0.13366336633663367,0.21774193548387097,0.23387096774193547
1800,"2026-02-13 02:02:30.500012","train",14,0.6173081644573054,0.0003429584346539303,"","","","","",""
1900,"2026-02-13 02:02:55.301720","train",14,0.585902069055237,0.0002683654392135893,"","","","","",""
1920,"2026-02-13 02:04:13.442981","train",14,"","",0.9664099223043422,0.8507940437947417,0.9643498123674336,0.7562744004461796,0.8273337400854179,0.6833435021354485
1920,"2026-02-13 02:04:46.951263","val",14,"","",0.7622562300680157,0.11611187779300942,0.9489638636752868,0.1945945945945946,0.2903225806451613,0.31451612903225806
2000,"2026-02-13 02:05:28.332594","train",15,0.555158146718198,0.0001993406322750923,"","","","","",""
2048,"2026-02-13 02:06:53.454306","train",15,"","",0.9675317264892445,0.8599797419683661,0.9690406265296133,0.7822094691535151,0.8316046369737645,0.6949359365466748
2048,"2026-02-13 02:07:27.223147","val",15,"","",0.7515719809217396,0.10069671002121801,0.9539304675458127,0.19701492537313434,0.2661290322580645,0.3225806451612903
