"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-02-13 20:13:51.096933","train",0,0.7289780378341675,7.17340740005862e-05,"","","","","",""
128,"2026-02-13 20:15:11.464864","train",0,"","",0.7311067994259421,0.175545684215144,0.8958656753002696,0.2562007586810622,0.28069053708439895,0.19053708439897699
128,"2026-02-13 20:15:45.225624","val",0,"","",0.7063059696995264,0.043129323644617586,0.919664268585132,0.09284332688588008,0.20689655172413793,0.15517241379310345
200,"2026-02-13 20:16:24.101827","train",1,0.7034620046615601,0.00017302461061031072,"","","","","",""
256,"2026-02-13 20:17:51.439529","train",1,"","",0.779889253423286,0.2644195875230835,0.43933327886265217,0.17045454545454544,0.90153452685422,0.27877237851662406
256,"2026-02-13 20:18:25.007125","val",1,"","",0.7137952126697924,0.06746445697466605,0.41760877012675574,0.055030572540300166,0.853448275862069,0.1896551724137931
300,"2026-02-13 20:18:57.216270","train",2,0.6801507472991943,0.00032311455644597426,"","","","","",""
384,"2026-02-13 20:20:31.735107","train",2,"","",0.7896513891483937,0.3172109132769106,0.521406977694256,0.1877556680302295,0.8657289002557544,0.3203324808184143
384,"2026-02-13 20:21:06.859644","val",2,"","",0.6961184297749761,0.06996046052949262,0.49725933538883177,0.05778491171749599,0.7758620689655172,0.19827586206896552
400,"2026-02-13 20:21:32.186410","train",3,0.6575596332550049,0.0004971737021037089,"","","","","",""
500,"2026-02-13 20:21:57.261115","train",3,0.6307451128959656,0.0006664064809566055,"","","","","",""
512,"2026-02-13 20:23:13.402287","train",3,"","",0.8518477127977915,0.4147754777108521,0.8805866492360487,0.3888772736776082,0.5946291560102301,0.38171355498721227
512,"2026-02-13 20:23:47.107551","val",3,"","",0.7686033337752655,0.09729246249305121,0.882151421719767,0.11794871794871795,0.39655172413793105,0.27586206896551724
600,"2026-02-13 20:24:30.003686","train",4,0.7636410593986511,0.000802815778917376,"","","","","",""
640,"2026-02-13 20:25:53.334799","train",4,"","",0.8502187066864269,0.43053905623752753,0.8570144619658469,0.3638676844783715,0.6400255754475703,0.3721227621483376
640,"2026-02-13 20:26:27.128416","val",4,"","",0.7506568718437007,0.07493444053941753,0.8597122302158273,0.11650485436893204,0.46551724137931033,0.22413793103448276
700,"2026-02-13 20:27:03.125436","train",5,0.6044555902481079,0.0008838346517837141,"","","","","",""
768,"2026-02-13 20:28:33.521024","train",5,"","",0.8756100733153901,0.5248240278277665,0.8822616226815916,0.4231385108086469,0.6758312020460358,0.4533248081841432
768,"2026-02-13 20:29:07.191818","val",5,"","",0.7689754607142427,0.09545931320935826,0.8797533401849948,0.12030075187969924,0.41379310344827586,0.2672413793103448
800,"2026-02-13 20:29:36.155870","train",6,0.6580284833908081,0.0008992471451349495,"","","","","",""
896,"2026-02-13 20:31:13.213827","train",6,"","",0.8862410615964909,0.5495035941366535,0.9265871394721791,0.5012489592006661,0.5773657289002557,0.4584398976982097
896,"2026-02-13 20:31:46.794715","val",6,"","",0.7984925092504429,0.08914420376442157,0.9319972593353888,0.14254859611231102,0.28448275862068967,0.2672413793103448
900,"2026-02-13 20:32:08.591930","train",7,0.6407777667045593,0.0008878230272005881,"","","","","",""
1000,"2026-02-13 20:32:33.573269","train",7,0.6623523235321045,0.0008629771961653554,"","","","","",""
1024,"2026-02-13 20:33:52.457163","train",7,"","",0.8985888969474877,0.5873986916798724,0.9189067734292017,0.5046169203893187,0.6464194373401535,0.49744245524296676
1024,"2026-02-13 20:34:25.914281","val",7,"","",0.8036224372958576,0.10278627743867305,0.9160671462829736,0.14634146341463414,0.3620689655172414,0.27586206896551724
1100,"2026-02-13 20:35:05.541125","train",8,0.6035493612289429,0.0008254713181961475,"","","","","",""
1152,"2026-02-13 20:36:31.823002","train",8,"","",0.9114189646508787,0.6380317606691177,0.9497507966337119,0.5985639686684073,0.5863171355498721,0.530690537084399
1152,"2026-02-13 20:37:05.445859","val",8,"","",0.8061836348515712,0.11053873744932173,0.9549503254539226,0.16507936507936508,0.22413793103448276,0.2672413793103448
1200,"2026-02-13 20:37:38.384575","train",9,0.5799739360809326,0.0007764551619711933,"","","","","",""
1280,"2026-02-13 20:39:11.384833","train",9,"","",0.9241647630738489,0.6784657748491795,0.9320614429283438,0.5697283311772315,0.7039641943734015,0.5556265984654731
1280,"2026-02-13 20:39:44.860791","val",9,"","",0.7984322457785438,0.10768973332337806,0.9273723878040425,0.152,0.3275862068965517,0.29310344827586204
1300,"2026-02-13 20:40:10.883111","train",10,0.662291944026947,0.0007174313517245102,"","","","","",""
1400,"2026-02-13 20:40:35.886388","train",10,0.5913122892379761,0.0006502093032587912,"","","","","",""
1408,"2026-02-13 20:41:50.597902","train",10,"","",0.9239562245085425,0.6699479416959224,0.8782580276166353,0.4620938628158845,0.8184143222506394,0.5549872122762148
1408,"2026-02-13 20:42:24.297919","val",10,"","",0.7906431920355795,0.08594749195945026,0.8600548132922233,0.12244897959183673,0.49137931034482757,0.27586206896551724
1500,"2026-02-13 20:43:08.121239","train",11,0.6140428781509399,0.000576849755050169,"","","","","",""
1536,"2026-02-13 20:44:30.171762","train",11,"","",0.9433339036856815,0.7624290933778317,0.9198463926791405,0.564773735581189,0.8139386189258312,0.6234015345268542
1536,"2026-02-13 20:45:03.739559","val",11,"","",0.786149043618701,0.08183422802315511,0.9040767386091128,0.13043478260869565,0.3620689655172414,0.25
1600,"2026-02-13 20:45:40.413211","train",12,0.5816044807434082,0.0004996015948822743,"","","","","",""
1664,"2026-02-13 20:47:09.437712","train",12,"","",0.9470036076181215,0.8064689542388414,0.9087343737233434,0.5463038180341186,0.8599744245524297,0.6675191815856778
1664,"2026-02-13 20:47:43.140111","val",12,"","",0.759526148320457,0.0720606160033386,0.8790681740322028,0.10858585858585859,0.3706896551724138,0.21551724137931033
1700,"2026-02-13 20:48:13.040263","train",13,0.555118203163147,0.00042083291863289913,"","","","","",""
1792,"2026-02-13 20:49:48.790136","train",13,"","",0.9493210825890293,0.8110450719084219,0.9051393087670562,0.5391028185788012,0.8682864450127877,0.670076726342711
1792,"2026-02-13 20:50:22.526240","val",13,"","",0.7444828791476333,0.06922381225131993,0.8809523809523809,0.1032258064516129,0.3448275862068966,0.19827586206896552
1800,"2026-02-13 20:50:45.341494","train",14,0.5509244203567505,0.0003429584346539303,"","","","","",""
1900,"2026-02-13 20:51:10.157353","train",14,0.5999435782432556,0.0002683654392135893,"","","","","",""
1920,"2026-02-13 20:52:28.434975","train",14,"","",0.9583318683872333,0.8590543464234318,0.9336138573412861,0.6242774566473989,0.8631713554987213,0.7276214833759591
1920,"2026-02-13 20:53:01.940014","val",14,"","",0.7445341030987478,0.07372052329427906,0.9097293593696472,0.10829103214890017,0.27586206896551724,0.21551724137931033
2000,"2026-02-13 20:53:42.802253","train",15,0.5709586143493652,0.0001993406322750923,"","","","","",""
2048,"2026-02-13 20:55:07.267382","train",15,"","",0.9589494059517998,0.863048177175545,0.9293242912002615,0.6124551971326165,0.8740409207161125,0.7212276214833759
2048,"2026-02-13 20:55:40.838836","val",15,"","",0.7216098783883138,0.07361948194823854,0.9004796163069544,0.10200927357032458,0.28448275862068967,0.21551724137931033
