"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
3100,"2026-02-16 22:20:14.200152","train",0,0.7292523384094238,1.649796666531827e-05,"","","","","",""
3200,"2026-02-16 22:20:27.688965","train",0,0.6658008098602295,1.704615190727403e-05,"","","","","",""
3300,"2026-02-16 22:20:41.165899","train",0,0.6417055726051331,1.7610598115850267e-05,"","","","","",""
3400,"2026-02-16 22:20:54.641069","train",0,0.6970906257629395,1.819119973573048e-05,"","","","","",""
3500,"2026-02-16 22:21:08.113360","train",0,0.8493804931640625,1.878784819042532e-05,"","","","","",""
3600,"2026-02-16 22:21:21.583255","train",0,0.6752805709838867,1.940043190257719e-05,"","","","","",""
3700,"2026-02-16 22:21:35.049291","train",0,0.6179306507110596,2.0028836314825828e-05,"","","","","",""
3800,"2026-02-16 22:21:48.540242","train",0,0.6451401710510254,2.06729439112316e-05,"","","","","",""
3829,"2026-02-16 22:46:25.851657","train",0,"","",0.7840930149219691,0.2073116159893409,0.9307839856344121,0.11886949293433084,0.07085346215780998,0.21615260745695528
3829,"2026-02-16 22:52:18.700486","val",0,"","",0.801343652919708,0.08083274295011321,0.9729442789136614,0.09714285714285714,0.07296137339055794,0.26781115879828327
3900,"2026-02-16 22:52:49.224817","train",1,0.7279514670372009,2.133263423925144e-05,"","","","","",""
4000,"2026-02-16 22:53:02.459302","train",1,0.6134205460548401,2.200778393226461e-05,"","","","","",""
4100,"2026-02-16 22:53:15.726138","train",1,0.6331984400749207,2.2698266732642895e-05,"","","","","",""
4200,"2026-02-16 22:53:29.021048","train",1,0.658230721950531,2.3403953515361767e-05,"","","","","",""
4300,"2026-02-16 22:53:42.340020","train",1,0.6408756375312805,2.4124712312147622e-05,"","","","","",""
4400,"2026-02-16 22:53:55.724839","train",1,0.647250771522522,2.4860408336156665e-05,"","","","","",""
4500,"2026-02-16 22:54:09.116394","train",1,0.6675125956535339,2.5610904007181118e-05,"","","","","",""
4600,"2026-02-16 22:54:22.539299","train",1,0.6678683161735535,2.637605897737758e-05,"","","","","",""
4700,"2026-02-16 22:54:35.979922","train",1,0.709443211555481,2.7155730157513044e-05,"","","","","",""
4800,"2026-02-16 22:54:49.422465","train",1,0.6323931217193604,2.7949771743723627e-05,"","","","","",""
4900,"2026-02-16 22:55:02.881428","train",1,0.6387290954589844,2.875803524478074e-05,"","","","","",""
5000,"2026-02-16 22:55:16.357452","train",1,0.7368781566619873,2.9580369509860126e-05,"","","","","",""
5100,"2026-02-16 22:55:29.830713","train",1,0.7026389837265015,3.041662075680814e-05,"","","","","",""
5200,"2026-02-16 22:55:43.286978","train",1,0.7340754270553589,3.1266632600899814e-05,"","","","","",""
5300,"2026-02-16 22:55:56.745073","train",1,0.639560341835022,3.213024608408408e-05,"","","","","",""
5400,"2026-02-16 22:56:10.226925","train",1,0.7823653817176819,3.300729970471004e-05,"","","","","",""
5500,"2026-02-16 22:56:23.684820","train",1,0.670097291469574,3.389762944772871e-05,"","","","","",""
5600,"2026-02-16 22:56:37.161975","train",1,0.6311303377151489,3.480106881536524e-05,"","","","","",""
5700,"2026-02-16 22:56:50.606973","train",1,0.6013261079788208,3.571744885825468e-05,"","","","","",""
5800,"2026-02-16 22:57:04.075087","train",1,0.7962231636047363,3.664659820703725e-05,"","","","","",""
5900,"2026-02-16 22:57:17.540223","train",1,0.5769999027252197,3.7588343104405123e-05,"","","","","",""
6000,"2026-02-16 22:57:31.008536","train",1,0.6567552089691162,3.854250743759647e-05,"","","","","",""
6100,"2026-02-16 22:57:44.471650","train",1,0.6428838968276978,3.9508912771329605e-05,"","","","","",""
6200,"2026-02-16 22:57:57.920795","train",1,0.7938613295555115,4.048737838117182e-05,"","","","","",""
6300,"2026-02-16 22:58:11.392944","train",1,0.8059242963790894,4.14777212873359e-05,"","","","","",""
6400,"2026-02-16 22:58:24.864321","train",1,0.6885756254196167,4.2479756288898665e-05,"","","","","",""
6500,"2026-02-16 22:58:38.336836","train",1,0.7459970116615295,4.349329599843483e-05,"","","","","",""
6600,"2026-02-16 22:58:51.789229","train",1,0.6142398118972778,4.4518150877059716e-05,"","","","","",""
6700,"2026-02-16 22:59:05.244152","train",1,0.6923010349273682,4.555412926987435e-05,"","","","","",""
6800,"2026-02-16 22:59:18.703908","train",1,0.7093071937561035,4.660103744180623e-05,"","","","","",""
6900,"2026-02-16 22:59:32.155371","train",1,0.6463502049446106,4.765867961383909e-05,"","","","","",""
7000,"2026-02-16 22:59:45.634920","train",1,0.725858747959137,4.872685799962498e-05,"","","","","",""
7100,"2026-02-16 22:59:59.110866","train",1,0.7633248567581177,4.980537284247162e-05,"","","","","",""
7200,"2026-02-16 23:00:12.587085","train",1,0.7179401516914368,5.089402245269826e-05,"","","","","",""
7300,"2026-02-16 23:00:26.062128","train",1,0.6903172731399536,5.1992603245353165e-05,"","","","","",""
7400,"2026-02-16 23:00:39.531899","train",1,0.6826127171516418,5.310090977828517e-05,"","","","","",""
7500,"2026-02-16 23:00:52.993190","train",1,0.7882441282272339,5.421873479056298e-05,"","","","","",""
7600,"2026-02-16 23:01:06.459219","train",1,0.663546085357666,5.5345869241234214e-05,"","","","","",""
7658,"2026-02-16 23:25:46.509355","train",1,"","",0.8025146784585779,0.2507094803391725,0.9301350854997348,0.2192018244013683,0.1488294314381271,0.2528799702712746
7658,"2026-02-16 23:31:39.144202","val",1,"","",0.808224306199888,0.10292463228859046,0.9691599027363951,0.16037296037296037,0.14763948497854076,0.2892703862660944
7700,"2026-02-16 23:32:05.750840","train",2,0.7849134206771851,5.6482102348417805e-05,"","","","","",""
7800,"2026-02-16 23:32:18.946692","train",2,0.670365571975708,5.762722162872119e-05,"","","","","",""
7900,"2026-02-16 23:32:32.182363","train",2,0.6351865530014038,5.8781012936976596e-05,"","","","","",""
8000,"2026-02-16 23:32:45.453949","train",2,0.7046058177947998,5.9943260506287405e-05,"","","","","",""
8100,"2026-02-16 23:32:58.772612","train",2,0.7461695671081543,6.111374698837812e-05,"","","","","",""
8200,"2026-02-16 23:33:12.123407","train",2,0.7256383895874023,6.229225349424001e-05,"","","","","",""
8300,"2026-02-16 23:33:25.486763","train",2,0.6350483894348145,6.347855963506483e-05,"","","","","",""
8400,"2026-02-16 23:33:38.873098","train",2,0.6498680710792542,6.467244356345907e-05,"","","","","",""
8500,"2026-02-16 23:33:52.286870","train",2,0.6188260316848755,6.587368201493084e-05,"","","","","",""
