"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-03-07 09:27:30.214557","train",0,0.6261822581291199,3.639987273107003e-05,"","","","","",""
200,"2026-03-07 09:27:55.564184","train",0,0.6329746246337891,3.759875065483106e-05,"","","","","",""
300,"2026-03-07 09:28:21.218035","train",0,0.6131560802459717,3.959441433336807e-05,"","","","","",""
400,"2026-03-07 09:28:46.767052","train",0,0.6251795291900635,4.23831692690634e-05,"","","","","",""
500,"2026-03-07 09:29:13.922311","train",0,0.5729537010192871,4.5959852744081767e-05,"","","","","",""
600,"2026-03-07 09:29:39.654145","train",0,0.6006301641464233,5.03178433779169e-05,"","","","","",""
700,"2026-03-07 09:30:06.248778","train",0,0.6306399703025818,5.544907338530646e-05,"","","","","",""
800,"2026-03-07 09:30:34.204511","train",0,0.6112586259841919,6.134404351182052e-05,"","","","","",""
900,"2026-03-07 09:31:00.712054","train",0,0.5553591251373291,6.799184061947745e-05,"","","","","",""
1000,"2026-03-07 09:31:26.741319","train",0,0.5962561368942261,7.538015788982784e-05,"","","","","",""
1100,"2026-03-07 09:31:52.983572","train",0,0.6284862756729126,8.349531760710842e-05,"","","","","",""
1200,"2026-03-07 09:32:19.058475","train",0,0.6101627945899963,9.232229647928572e-05,"","","","","",""
1217,"2026-03-07 09:35:01.216000","val",0,"","",0.7935978515351262,0.12180717952556885,0.8178362272680572,0.11394302848575712,0.5871244635193134,0.3278969957081545
1300,"2026-03-07 09:35:48.944209","train",1,0.5450984239578247,0.00010184475345011558,"","","","","",""
1400,"2026-03-07 09:36:20.197909","train",1,0.5980604887008667,0.00011204505995073032,"","","","","",""
1500,"2026-03-07 09:36:52.236819","train",1,0.5289443731307983,0.0001229043325347497,"","","","","",""
1600,"2026-03-07 09:37:22.739532","train",1,0.5521128177642822,0.0001344024678364995,"","","","","",""
1700,"2026-03-07 09:37:53.009417","train",1,0.5953449606895447,0.00014651817978762185,"","","","","",""
1800,"2026-03-07 09:38:24.367313","train",1,0.5669731497764587,0.00015922903902317802,"","","","","",""
1900,"2026-03-07 09:38:56.352381","train",1,0.6384276151657104,0.0001725115144042941,"","","","","",""
2000,"2026-03-07 09:39:28.335803","train",1,0.5416362285614014,0.0001863410165804793,"","","","","",""
