"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-03-07 17:44:39.286458","train",0,0.556633472442627,3.639987273107003e-05,"","","","","",""
200,"2026-03-07 17:45:04.541935","train",0,0.5267570614814758,3.759875065483106e-05,"","","","","",""
300,"2026-03-07 17:45:30.497732","train",0,0.5925842523574829,3.959441433336807e-05,"","","","","",""
400,"2026-03-07 17:45:55.900868","train",0,0.6308952569961548,4.23831692690634e-05,"","","","","",""
500,"2026-03-07 17:46:21.404684","train",0,0.5750906467437744,4.5959852744081767e-05,"","","","","",""
600,"2026-03-07 17:46:46.821190","train",0,0.5976930856704712,5.03178433779169e-05,"","","","","",""
700,"2026-03-07 17:47:12.421354","train",0,0.538745105266571,5.544907338530646e-05,"","","","","",""
800,"2026-03-07 17:47:37.868758","train",0,0.5929752588272095,6.134404351182052e-05,"","","","","",""
900,"2026-03-07 17:48:03.297412","train",0,0.5462375283241272,6.799184061947745e-05,"","","","","",""
1000,"2026-03-07 17:48:29.254993","train",0,0.5604073405265808,7.538015788982784e-05,"","","","","",""
1100,"2026-03-07 17:48:54.896583","train",0,0.6237150430679321,8.349531760710842e-05,"","","","","",""
1200,"2026-03-07 17:49:20.899575","train",0,0.6068354845046997,9.232229647928572e-05,"","","","","",""
1217,"2026-03-07 17:51:52.600038","val",0,"","",0.7857812455358111,0.12093312093631206,0.7965170040069866,0.10701134741113699,0.6111587982832618,0.3184549356223176
1300,"2026-03-07 17:52:36.564050","train",1,0.5696579813957214,0.00010184475345011558,"","","","","",""
1400,"2026-03-07 17:53:02.531280","train",1,0.5873965620994568,0.00011204505995073032,"","","","","",""
1500,"2026-03-07 17:53:28.243654","train",1,0.5518191456794739,0.0001229043325347497,"","","","","",""
1600,"2026-03-07 17:53:54.091036","train",1,0.5680530071258545,0.0001344024678364995,"","","","","",""
1700,"2026-03-07 17:54:19.850639","train",1,0.6036018133163452,0.00014651817978762185,"","","","","",""
1800,"2026-03-07 17:54:45.499378","train",1,0.5901356339454651,0.00015922903902317802,"","","","","",""
1900,"2026-03-07 17:55:11.075706","train",1,0.5973452925682068,0.0001725115144042941,"","","","","",""
2000,"2026-03-07 17:55:36.865368","train",1,0.5948702096939087,0.0001863410165804793,"","","","","",""
2100,"2026-03-07 17:56:02.533210","train",1,0.56415855884552,0.00020069194351097185,"","","","","",""
2200,"2026-03-07 17:56:28.886529","train",1,0.615351676940918,0.00021553772786084063,"","","","","",""
2300,"2026-03-07 17:56:55.148733","train",1,0.5966596007347107,0.0002308508861841006,"","","","","",""
2400,"2026-03-07 17:57:21.372338","train",1,0.5705267190933228,0.0002466030698027883,"","","","","",""
2434,"2026-03-07 17:59:59.089782","val",1,"","",0.8058423480735962,0.13270449126866807,0.9439364361793212,0.19120553359683795,0.3321888412017167,0.33476394849785407
2500,"2026-03-07 18:00:37.013244","train",2,0.5726227760314941,0.0002627651172878115,"","","","","",""
2600,"2026-03-07 18:01:01.603589","train",2,0.5580176115036011,0.0002793071084444135,"","","","","",""
2700,"2026-03-07 18:01:26.491506","train",2,0.5746334195137024,0.0002961984197023109,"","","","","",""
2800,"2026-03-07 18:01:51.753022","train",2,0.6232242584228516,0.0003134077808079667,"","","","","",""
2900,"2026-03-07 18:02:17.105643","train",2,0.5395498275756836,0.00033090333271404155,"","","","","",""
3000,"2026-03-07 18:02:42.531286","train",2,0.5481562614440918,0.00034865268655885824,"","","","","",""
3100,"2026-03-07 18:03:08.042055","train",2,0.5689529180526733,0.0003666229836266914,"","","","","",""
3200,"2026-03-07 18:03:33.538055","train",2,0.5907497406005859,0.00038478095617788084,"","","","","",""
3300,"2026-03-07 18:03:59.088080","train",2,0.5700390338897705,0.0004030929890361546,"","","","","",""
3400,"2026-03-07 18:04:24.596651","train",2,0.5674535036087036,0.0004215251818191491,"","","","","",""
3500,"2026-03-07 18:04:50.157533","train",2,0.5700737237930298,0.00044004341169692117,"","","","","",""
3600,"2026-03-07 18:05:15.673270","train",2,0.5753535628318787,0.00045861339656226807,"","","","","",""
3651,"2026-03-07 18:07:54.262178","val",2,"","",0.8279917293131029,0.15109139991907378,0.9800506866673516,0.08050513022888714,0.04377682403433476,0.3759656652360515
3700,"2026-03-07 18:08:27.783794","train",3,0.6193475723266602,0.0004772007584959118,"","","","","",""
3800,"2026-03-07 18:08:52.172849","train",3,0.5203347206115723,0.0004957710874090571,"","","","","",""
3900,"2026-03-07 18:09:17.089311","train",3,0.5914487838745117,0.0005142900047455031,"","","","","",""
4000,"2026-03-07 18:09:42.126229","train",3,0.5786980390548706,0.0005327232271253803,"","","","","",""
4100,"2026-03-07 18:10:07.255537","train",3,0.566201388835907,0.0005510366298126914,"","","","","",""
4200,"2026-03-07 18:10:32.445254","train",3,0.5531020164489746,0.0005691963098891597,"","","","","",""
4300,"2026-03-07 18:10:57.634431","train",3,0.5472835898399353,0.0005871686490174354,"","","","","",""
4400,"2026-03-07 18:11:22.840479","train",3,0.5780948400497437,0.0006049203756774678,"","","","","",""
4500,"2026-03-07 18:11:48.120554","train",3,0.5413789749145508,0.0006224186267608277,"","","","","",""
4600,"2026-03-07 18:12:13.332466","train",3,0.5587470531463623,0.0006396310084089518,"","","","","",""
4700,"2026-03-07 18:12:38.613346","train",3,0.5891344547271729,0.0006565256559826831,"","","","","",""
4800,"2026-03-07 18:13:04.065551","train",3,0.585422158241272,0.0006730712930520878,"","","","","",""
4868,"2026-03-07 18:15:46.820367","val",3,"","",0.8386260020311521,0.16996610607041523,0.9793657317031406,0.1299638989169675,0.07725321888412018,0.40171673819742487
4900,"2026-03-07 18:16:16.294202","train",4,0.5520837306976318,0.0006892372892973405,"","","","","",""
5000,"2026-03-07 18:16:41.058711","train",4,0.567844569683075,0.0007049937172134918,"","","","","",""
